Bet id, date,total odds,message,Amount,Possible win,Bet type,Status
3954863704,2024-02-23 20:45:36,48.55,54374940223204536#1024#41893413#Real Sociedad#42134609#BOLOGNA#42023347#LEVERKUSEN#41888407#Leeds#41981565#yes#47120031#over 1.5#41966017#Llanelli#41889625#draw or Cheltenham#47100255#Coquimbo Unido,1.420,71.72,Prematch Bet,Lost
3954836957,2024-02-23 20:39:43,3.78,54374940223203943#1024#42023347#LEVERKUSEN#41888407#over 1.5#41888401#Coventry#42004935#over 1.5,14.000,40.10,Prematch Bet,Lost
3954824081,2024-02-23 20:36:50,2.62,54374940223203650#1024#41893413#Real Sociedad#42134609#BOLOGNA,20.000,40.82,Prematch Bet,Lost
3942023122,2024-02-18 14:23:00,16.82,54374940218142300#1024#47044107#over 1.5#46375517#Young Boys#41894091#Club Brugge#41980477#yes#47044109#over 1.5#42021641#GLASGOW RANGERS#46351901#Kalmar#42024223#St. Pauli,7.000,84.94,Prematch Bet,Lost
3941945904,2024-02-18 14:04:16,36.33,54374940218140415#1024#41763329#MAN UTD#41763337#BRIGHTON#42134601#over 1.5#42134599#LAZIO#42023331#BAYERN#47044109#yes#42004915#over 1.5,10.000,260.15,Prematch Bet,Lost
3941923539,2024-02-18 13:58:36,13.44,54374940218135836#1024#41763329#over 0.5#41893389#Real Madrid#42134593#over 1.5#42004903#over 1.5#42134601#Milan#41893401#over 1.5#41980477#AJAX#41893387#over 0.5,20.000,194.72,Prematch Bet,Lost
3941905781,2024-02-18 13:54:16,14.09,54374940218135416#1024#41763329#MAN UTD#41763337#BRIGHTON#41893389#Real Madrid#42134601#over 1.5#42023331#BAYERN#42004905#over 1.5#42004915#over 1.5,20.000,203.97,Prematch Bet,Cancelled By User
3936963871,2024-02-17 12:32:04,9.40,54374940217123204#1024#41893393#BARCELONA#42134595#JUVENTUS#42023333#LEVERKUSEN#46351175#Malmo#42004907#over 1.5#41888385#Leeds,2.700,50.86,Prematch Bet,Lost
3936902499,2024-02-17 12:17:35,13.03,54374940217121735#1024#41763331#MAN CITY#41763323#Arsenal#41763321#LIVERPOOL#41893385#Atletico Madrid#42134603#over 1.5#42134595#JUVENTUS#42023333#LEVERKUSEN,20.000,188.89,Prematch Bet,Lost
3930649663,2024-02-15 06:12:35,174.81,54374940215061235#1024#46297699#BETIS#46297037#yes#46296955#over 1.5#46297041#MARSEILLE#46296959#over 0.5#46297029#BENFICA#45599914#under 3.5#46457229#Palmeiras#42408189#over 0.5#46655415#over 1.5#46655417#over 0.5#47485123#Al Badii or draw#42821149#BENEVENTO#46951049#Shahre Raz Shiraz,6.000,746.45,Prematch Bet,Lost
3930619911,2024-02-15 04:59:16,5.87,54374940215045916#1024#46297705#Olympiacos#46297651#over 1.5#46297037#over 1.5#42821163#Casertana 1908#47293635#over 1.5,6.000,26.09,Prematch Bet,Lost
3928088475,2024-02-14 06:02:30,2.18,54374940214060230#1024#46951045#SaiPa Karadj#43943490#Niki Volou,20.000,34.56,Prematch Bet,Won
3928086347,2024-02-14 05:58:40,2.29,54374940214055839#1024#46295651#PSG#42256889#Port FC,20.000,36.12,Prematch Bet,Won
3925646454,2024-02-13 08:40:56,19.89,54374940213084056#1024#42819759#Triestina#46477607#yes#47569383#Alfreton#42146551#over 1.5#41966883#Kalba#41890761#Barrow AFC,11.000,175.03,Prematch Bet,Lost
3925643157,2024-02-13 08:37:23,3.52,54374940213083723#1024#46295671#Real Madrid#42256887#Ratchaburi,9.000,24.13,Prematch Bet,Won
3925615843,2024-02-13 08:05:55,2.25,54374940213080555#1024#45868477#VIKTORIA PLZEN,20.000,35.56,Prematch Bet,Won
3925615315,2024-02-13 08:05:18,2.65,54374940213080518#1024#41888359#Leeds#42709133#Turan Tovuz,20.000,41.24,Prematch Bet,Won
3925614916,2024-02-13 08:04:52,2.23,54374940213080452#1024#41888349#Birmingham,20.000,35.27,Prematch Bet,Won
3923435261,2024-02-12 07:05:20,5.35,54374940212070520#1024#41893363#BILBAO#46742779#yes#42438679#over 1.5#46457207#Palmeiras#42709127#over 1.5,3.320,67.49,Prematch Bet,Lost
3923426018,2024-02-12 06:48:48,11.78,54374940212064848#1024#41763303#CHELSEA#47078789#yes#42415899#over 1.5#41755483#KORONA KIELCE#46477737#yes,20.000,171.11,Prematch Bet,Lost
3923424708,2024-02-12 06:46:05,2.60,54374940212064605#1024#43231809#Pretoria University,50.000,101.32,Prematch Bet,Won
3923424092,2024-02-12 06:44:48,2.47,54374940212064448#1024#41981485#JONG FC UTRECHT,50.000,96.70,Prematch Bet,Lost
3923424028,2024-02-12 06:44:41,2.55,54374940212064441#1024#47546699#Metropolitanos FC,50.000,99.54,Prematch Bet,Lost
